Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
12533,DAVITA WALKER COUNTY DIALYSIS,Profit,DAVITA,13,Worse than Expected,35,49,449,52,472,Worse than Expected,As Expected,As Expected,38,76,157,Worse than Expected,As Expected,47,47,433,0,,Not Available,As Expected
12534,BESSEMER KIDNEY CENTER,Profit,FRESENIUS MEDICAL CARE,36,Worse than Expected,48,74,696,81,737,As Expected,As Expected,As Expected,52,52,229,As Expected,Worse than Expected,80,80,725,0,,As Expected,As Expected
12525,FMC WEST MOBILE,Profit,FRESENIUS MEDICAL CARE,20,As Expected,63,88,873,90,892,As Expected,As Expected,Better than Expected,71,93,306,Better than Expected,As Expected,90,90,888,0,,As Expected,As Expected
12526,RCG PRINCETON,Profit,FRESENIUS MEDICAL CARE,34,Worse than Expected,70,111,1128,111,1110,As Expected,As Expected,As Expected,77,111,380,Better than Expected,Worse than Expected,111,111,1129,0,,As Expected,As Expected
12527,DCI ENTERPRISE,Non-Profit,"DIALYSIS CLINIC, INC.",26,As Expected,43,61,590,64,603,As Expected,As Expected,As Expected,46,43,216,As Expected,As Expected,63,63,589,1,2,Not Available,As Expected
12501,DAVITA GADSDEN DIALYSIS,Profit,DAVITA,24,As Expected,30,47,414,49,430,Worse than Expected,Worse than Expected,As Expected,37,62,176,As Expected,As Expected,49,49,418,0,,As Expected,As Expected
12502,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,Profit,DAVITA,23,As Expected,92,131,1216,140,1261,As Expected,As Expected,As Expected,104,136,440,As Expected,As Expected,127,127,1172,0,,As Expected,As Expected
12505,DAVITA PDI-MONTGOMERY,Profit,DAVITA,18,As Expected,68,107,921,107,932,As Expected,As Expected,As Expected,76,89,323,As Expected,As Expected,82,82,700,0,,As Expected,As Expected
12506,DAVITA DOTHAN DIALYSIS,Profit,DAVITA,27,As Expected,60,75,625,79,655,Worse than Expected,As Expected,Worse than Expected,63,81,283,As Expected,As Expected,82,82,659,0,,Not Available,As Expected
12507,FMC MOBILE,Profit,FRESENIUS MEDICAL CARE,24,As Expected,77,123,1133,125,1172,As Expected,As Expected,As Expected,88,80,374,As Expected,As Expected,126,126,1175,0,,As Expected,As Expected
12528,FMC CAHABA VALLEY,Profit,FRESENIUS MEDICAL CARE,24,As Expected,43,68,583,72,588,As Expected,As Expected,As Expected,53,46,207,As Expected,As Expected,72,72,595,0,,As Expected,As Expected
12529,DAVITA FLORENCE DIALYSIS,Profit,DAVITA,18,As Expected,105,130,1158,139,1202,As Expected,As Expected,As Expected,112,136,489,As Expected,As Expected,99,99,873,0,,As Expected,As Expected
12530,RAI EAST 11TH ST ANNISTON,Profit,INDEPENDENT,21,As Expected,61,84,789,90,819,As Expected,As Expected,Worse than Expected,71,84,309,Better than Expected,As Expected,89,89,813,1,3,As Expected,As Expected
12306,CHILDRENS HOSPITAL DIALYSIS,Non-Profit,INDEPENDENT,7,Not Available,2,1,5,3,10,As Expected,Not Available,Not Available,12,9,65,Not Available,Not Available,2,2,8,14,74,As Expected,As Expected
12500,FMC CAPITOL CITY,Profit,FRESENIUS MEDICAL CARE,34,As Expected,84,128,1206,137,1225,As Expected,As Expected,As Expected,102,91,404,Better than Expected,Worse than Expected,138,138,1277,0,,Worse than Expected,As Expected
12516,DSI SOUTH DIALYSIS,Profit,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20,As Expected,42,60,581,63,601,As Expected,As Expected,As Expected,46,51,203,As Expected,As Expected,54,54,539,0,,Not Available,As Expected
12517,DAVITA ATHENS DIALYSIS,Profit,DAVITA,12,Worse than Expected,68,95,796,99,820,As Expected,As Expected,Worse than Expected,78,90,346,As Expected,As Expected,99,99,829,0,,As Expected,As Expected
12519,FMC SCOTTSBORO,Profit,FRESENIUS MEDICAL CARE,21,As Expected,58,87,780,90,822,As Expected,As Expected,As Expected,68,65,269,As Expected,As Expected,89,89,809,1,5,As Expected,As Expected
12520,FRESENIUS KIDNEY CARE TROY,Profit,FRESENIUS MEDICAL CARE,21,As Expected,51,72,685,76,727,As Expected,As Expected,As Expected,57,48,203,As Expected,As Expected,76,76,729,0,,As Expected,As Expected
12521,DCI DOTHAN,Non-Profit,"DIALYSIS CLINIC, INC.",33,As Expected,113,153,1406,167,1502,As Expected,As Expected,As Expected,133,163,517,As Expected,As Expected,126,126,1146,0,,As Expected,As Expected
12522,FMC HUNTSVILLE,Profit,FRESENIUS MEDICAL CARE,31,As Expected,50,67,588,72,605,As Expected,As Expected,As Expected,57,51,252,As Expected,As Expected,71,71,608,0,,As Expected,As Expected
12523,DAVITA PHENIX CITY DIALYSIS CENTER,Profit,DAVITA,20,As Expected,60,91,830,95,860,As Expected,As Expected,Worse than Expected,73,71,336,As Expected,As Expected,87,87,760,0,,As Expected,As Expected
12524,FMC EAST MOBILE,Profit,FRESENIUS MEDICAL CARE,29,As Expected,127,199,1708,212,1773,As Expected,As Expected,As Expected,143,151,558,As Expected,As Expected,133,133,1131,0,,As Expected,As Expected
12531,FMC JACKSON (TOMBIGBEE),Profit,FRESENIUS MEDICAL CARE,25,As Expected,79,110,976,115,1029,As Expected,As Expected,As Expected,87,72,333,As Expected,As Expected,99,99,860,0,,As Expected,As Expected
12532,DCI EUFAULA,Non-Profit,"DIALYSIS CLINIC, INC.",14,As Expected,39,56,541,60,564,As Expected,As Expected,As Expected,48,31,185,As Expected,As Expected,60,60,564,0,,Not Available,As Expected
12579,FMC DAUPHIN ISLAND PKWY,Profit,FRESENIUS MEDICAL CARE,20,As Expected,59,91,854,93,878,As Expected,Worse than Expected,As Expected,67,84,282,As Expected,As Expected,93,93,886,0,,As Expected,As Expected
12580,FMC THOMASVILLE,Profit,FRESENIUS MEDICAL CARE,20,As Expected,43,53,479,56,477,As Expected,As Expected,As Expected,47,37,191,As Expected,As Expected,55,55,484,0,,As Expected,As Expected
12582,FMC WILCOX,Profit,FRESENIUS MEDICAL CARE,10,As Expected,37,54,477,54,476,As Expected,As Expected,As Expected,43,35,162,As Expected,As Expected,54,54,492,0,,As Expected,As Expected
12583,DAVITA BESSEMER DIALYSIS,Profit,DAVITA,16,As Expected,35,57,489,60,498,As Expected,As Expected,As Expected,40,25,178,As Expected,As Expected,63,63,507,0,,As Expected,As Expected
12585,DAVITA ENSLEY DIALYSIS,Profit,DAVITA,24,As Expected,72,100,922,107,965,As Expected,As Expected,As Expected,81,59,323,As Expected,Worse than Expected,107,107,968,0,,As Expected,As Expected
12588,DAVITA SYLACAUGA DIALYSIS,Profit,DAVITA,18,As Expected,38,51,472,53,492,As Expected,As Expected,Worse than Expected,41,51,207,As Expected,As Expected,45,45,403,0,,Not Available,As Expected
12594,DAVITA BOAZ DIALYSIS,Profit,DAVITA,12,As Expected,51,59,522,61,540,As Expected,As Expected,As Expected,56,85,203,As Expected,As Expected,61,61,541,0,,Not Available,As Expected
12595,RCG FORT PAYNE,Profit,FRESENIUS MEDICAL CARE,24,As Expected,52,67,598,74,653,As Expected,As Expected,As Expected,60,59,235,Better than Expected,As Expected,68,68,564,0,,As Expected,As Expected
12596,FKC MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,33,As Expected,99,133,1313,142,1357,As Expected,Better than Expected,As Expected,110,142,443,Better than Expected,As Expected,141,141,1347,0,,As Expected,As Expected
12566,FMC SYLACAUGA,Profit,FRESENIUS MEDICAL CARE,12,As Expected,32,42,394,47,417,As Expected,As Expected,As Expected,40,38,166,As Expected,As Expected,45,45,411,0,,Not Available,As Expected
12568,FMC PARKWAY,Profit,FRESENIUS MEDICAL CARE,15,As Expected,41,56,530,57,538,As Expected,As Expected,As Expected,48,56,215,As Expected,As Expected,57,57,547,0,,Not Available,As Expected
12570,DAVITA NORTHORT DIALYSIS,Profit,DAVITA,14,As Expected,64,87,747,89,755,As Expected,Better than Expected,As Expected,72,91,295,As Expected,As Expected,93,93,792,0,,As Expected,As Expected
12571,DCI GEORGIANA,Non-Profit,"DIALYSIS CLINIC, INC.",10,As Expected,22,27,281,27,281,As Expected,As Expected,As Expected,27,45,118,As Expected,As Expected,27,27,274,0,,Not Available,As Expected
12572,FMC CAMELLIA,Profit,FRESENIUS MEDICAL CARE,21,As Expected,58,77,697,81,689,As Expected,As Expected,As Expected,68,69,283,Better than Expected,As Expected,85,85,711,0,,As Expected,As Expected
12573,DCI BIRMINGHAM,Non-Profit,"DIALYSIS CLINIC, INC.",16,As Expected,33,44,411,47,439,As Expected,As Expected,As Expected,35,29,164,As Expected,As Expected,47,47,441,0,,Not Available,As Expected
12535,DAVITA PDI-PRATTVILLE,Profit,DAVITA,16,As Expected,47,64,567,64,565,As Expected,As Expected,As Expected,53,62,232,Better than Expected,As Expected,65,65,575,0,,As Expected,As Expected
12536,FMC MONTCLAIR,Profit,FRESENIUS MEDICAL CARE,24,Worse than Expected,50,65,608,69,634,As Expected,As Expected,As Expected,52,74,217,As Expected,As Expected,69,69,642,0,,Not Available,As Expected
12537,FMC PRICHARD,Profit,FRESENIUS MEDICAL CARE,25,As Expected,66,108,986,110,1031,As Expected,As Expected,As Expected,75,79,327,As Expected,As Expected,112,112,1043,1,1,As Expected,As Expected
12538,RCG ANDALUSIA,Profit,FRESENIUS MEDICAL CARE,21,As Expected,57,73,618,79,656,As Expected,As Expected,As Expected,69,113,246,As Expected,As Expected,70,70,536,0,,As Expected,As Expected
12540,FMC MONROEVILLE (WHETSTONE),Profit,FRESENIUS MEDICAL CARE,20,As Expected,60,76,721,81,759,As Expected,As Expected,As Expected,64,55,230,As Expected,As Expected,76,76,703,0,,As Expected,As Expected
12541,FMC DADEVILLE,Profit,FRESENIUS MEDICAL CARE,15,As Expected,40,52,556,53,565,As Expected,As Expected,As Expected,43,26,195,As Expected,Better than Expected,53,53,571,0,,Not Available,As Expected
12542,DAVITA RAINBOW CITY DIALYSIS,Profit,DAVITA,16,As Expected,44,72,598,77,637,As Expected,As Expected,As Expected,53,60,241,As Expected,As Expected,55,55,482,0,,As Expected,As Expected
12543,DAVITA DEMOPOLIS DIALYSIS,Profit,DAVITA,15,As Expected,52,67,630,73,656,As Expected,As Expected,Worse than Expected,57,53,262,Better than Expected,Worse than Expected,68,68,614,0,,As Expected,As Expected
